original_order,season_proportional,landings_tonnes,value_kg_conversion,currency
1,,,,
2,,,,
3,1.00,65,13.47,$NZ
4,1.00,,,
5,1.00,29.592,,
6,1.00,0.5,,
7,1.00,0.5,,
9,,,,
10,,,,
11,1.00,27,,
12,,,,
13,,,,
14,1.00,9,12,$
15,1.00,174,83,$RS
16,0.33,79.4,,
17,,,,
18,,,,
19,,945,33.15,$NZ
20,,2000,13,$US
21,0.33,80000,,
22,,9200,1.8084,$US
23,0.75,,,
24,,4082,4.086,$CAN
25,1.00,,25,$AUS
26,1.00,,25,$AUS
27,,,,
28,,,,
29,,4.75,,
30,,222.9,,
31,,,,
32,,,,
33,,75,0.93524,$US
34,,,,
35,,,,
36,,35051,0.02724,$US
37,,92.5,0.227,$US
38,,,0.174336,$US
39,,,,$US
40,,,0.049032,$US
41,,,,
42,,,1300,ariary
43,,1592,,$US
44,,,0.069462,$US
45,,,0.07264,$US
46,,,,$US
47,,,,$US
48,,,,$US
49,,0,,
50,,,,
51,,85364.2,,
52,,,0.069462,$US
53,,,0.07264,$US
54,0.50,,830,$MEX
55,0.50,,9-Apr,$MEX
56,0.42,163,,
57,,,,
58,,280811,,
59,,3055,,$US
60,,,42996,$US
61,,,42996,$US
62,,25.4,18.8,$US
63,,7.3,18,$US
64,,15.7,3.1,$US
65,,,,
66,,,,
67,,,,
68,,66.2,17.23,$US
75,1.00,348000,0.018,?
76,,,,
77,,,,
78,,,,
79,0.58,,4.3,$US
80,0.58,,4.3,$US
84,0.25,1000,3,$US
85,1.00,2,290,$US
86,1.00,,,
87,1.00,,,
88,1.00,,,
89,1.00,3865,,
90,1.00,,,
91,,,1.35,OMR
92,0.75,642,10.92778,$BZD2003
93,0.75,279,4.1314,$BZD2003
94,,,,
95,,,,
96,,,,
97,,,1.895,$US
100,,,,
101,1.00,,0.74,$US
102,1.00,,,
103,1.00,,,
104,1.00,,,
105,1.00,,,
106,0.83,43958,,
107,1.00,,87,MWK
108,1.00,,37,MWK
109,1.00,,110,XOF
110,1.00,18430,17.07,Euro
111,1.00,59170,1.59,Euro
112,1.00,800000,1.99,$
113,1.00,800000,0.9,$
114,1.00,800000,1.63,$
115,0.25,5000,0.8399,$CAN
